model,resolution,protocol,size,row_type,condition,baseline_condition,baseline_map50_95,complete,expected_conditions,map50_95,map50_95_drop,map50_95_drop_percentage_points,map50_95_relative_drop,map50_95_retention,n_conditions,observed_partial_map50_95,worst_condition
leaf_yolo_n_external,640,native10,all,matrix9_mean_including_S1T1,aggregate,S1T1,0.22784249091230457,True,9,0.1392616901732154,0.08858080073908917,8.858080073908917,0.38878086516875143,0.6112191348312486,9,,
leaf_yolo_n_external,640,native10,all,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.22784249091230457,True,8,0.12818909008082924,0.09965340083147534,9.965340083147535,0.4373784733148455,0.5626215266851545,8,,
leaf_yolo_n_external,640,native10,all,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.22784249091230457,True,8,0.044208933310750785,0.18363355760155378,18.36335576015538,0.8059671260890201,0.19403287391097992,8,,S2T3
leaf_yolo_n_external,640,native10,coco_small,condition,CLEAN,S1T1,0.15131066706229013,True,1,0.15123601175479415,7.465530749597993e-05,0.007465530749597993,0.00049339090855538,0.9995066090914446,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S1T1,S1T1,0.15131066706229013,True,1,0.15131066706229013,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S1T2,S1T1,0.15131066706229013,True,1,0.11479818154339795,0.036512485518892177,3.6512485518892177,0.24130807317015568,0.7586919268298443,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S1T3,S1T1,0.15131066706229013,True,1,0.013470101224321891,0.13784056583796825,13.784056583796826,0.9109771869634502,0.08902281303654982,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S2T1,S1T1,0.15131066706229013,True,1,0.10727173167298376,0.044038935389306366,4.403893538930637,0.2910497735838864,0.7089502264161136,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S2T2,S1T1,0.15131066706229013,True,1,0.07460446184778509,0.07670620521450504,7.670620521450504,0.5069451262344072,0.49305487376559276,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S2T3,S1T1,0.15131066706229013,True,1,0.008051011349378202,0.14325965571291194,14.325965571291194,0.9467915150617647,0.05320848493823531,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S3T1,S1T1,0.15131066706229013,True,1,0.12888347997998897,0.022427187082301153,2.2427187082301154,0.14821947135470992,0.8517805286452901,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S3T2,S1T1,0.15131066706229013,True,1,0.09549422942831078,0.05581643763397935,5.581643763397935,0.36888633642069246,0.6311136635793075,1,,
leaf_yolo_n_external,640,native10,coco_small,condition,S3T3,S1T1,0.15131066706229013,True,1,0.00997272495687296,0.14133794210541717,14.133794210541717,0.9340910647577313,0.0659089352422687,1,,
leaf_yolo_n_external,640,native10,coco_small,matrix9_mean_including_S1T1,aggregate,S1T1,0.15131066706229013,True,9,0.07820628767392553,0.0731043793883646,7.31043793883646,0.48314094972742194,0.5168590502725781,9,,
