model,state,backend,resolution,condition,protocol,size,category_id,class_name,map50,map50_95,ar50,ar50_95,area_reference,category_name,checkpoint_sha256,evaluated_categories,gt_count,image_count,max_det
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,3,,0.0,0.0,0.0,0.0,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,4,,0.9430157471910646,0.7824460546039272,0.9871630295250321,0.8476251604621309,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,779,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,5,,0.5471174757545094,0.44517830409649034,0.9565217391304348,0.7791304347826087,original_image_pixels,van,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,115,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,6,,0.5551414964988509,0.36251149246490744,0.896551724137931,0.6057471264367816,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,87,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,7,,0.36500466373167934,0.26965839441086964,0.75,0.5916666666666666,original_image_pixels,tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,12,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,8,,0.1463146314631463,0.0924092409240924,0.8,0.52,original_image_pixels,awning-tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,5,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,9,,0.793006666272246,0.595320891928261,1.0,0.778125,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,32,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,10,,0.018564356435643563,0.0037128712871287127,0.14285714285714285,0.02857142857142857,original_image_pixels,motor,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,7,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,1,,0.5833910260360468,0.25000919952915934,0.9123945489941596,0.45190136275146014,original_image_pixels,pedestrian,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,7705,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,2,,0.44591379196502867,0.16435034939006984,0.9095238095238095,0.4543073593073593,original_image_pixels,people,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,4620,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,3,,0.20503535228352543,0.08364237712409446,0.8563218390804598,0.41417624521072793,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,1044,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,4,,0.8009070022343872,0.4598967835511782,0.958308952603862,0.5908279695728497,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,6836,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,5,,0.39387512248685336,0.22075819732995502,0.9454545454545454,0.5760427807486631,original_image_pixels,van,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,935,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,6,,0.27185387839369274,0.14758908783380642,0.818815331010453,0.4574912891986063,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,287,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,7,,0.2996832181572655,0.15607752230742253,0.8661290322580645,0.47693548387096774,original_image_pixels,tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,620,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,8,,0.18735480951627762,0.10477844858249019,0.7986798679867987,0.4547854785478547,original_image_pixels,awning-tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,303,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,9,,0.480528243985906,0.2982783662486876,0.8303571428571429,0.5062499999999999,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,112,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,coco_small,10,,0.5829209654572339,0.24962581179632273,0.9426415094339623,0.49164779874213843,original_image_pixels,motor,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3975,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,S1T1,common6,all,1,,0.6379347458314999,0.2809718448949507,0.9261037592223914,0.4687317016044033,original_image_pixels,person,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,8539,548,3000
